,gene1,gene2,both,odds_ratio,pvalue,n1,n2,expected,FDR,log2_OR,testable,exclusivity_reliable
65,VWF,ITGA6,153,2.1236239030249076,6.860655716447544e-13,5315,468,88.32226680396265,1.1534948622159058e-12,1.0865282853110585,True,True
66,VWF,SEMA3F,551,2.8344048171381844,4.039812916912758e-69,5315,1447,273.0818804814828,1.7659753608218628e-68,1.5030458224653727,True,True
67,VWF,JAG1,190,0.6219180297467216,2.923636761499693e-10,5315,1478,278.93228704328374,4.5644533113209494e-10,-0.6852036525876077,True,True
68,VWF,FLT1,555,2.798823572582124,4.245515104281458e-68,5315,1469,277.2337819124383,1.7555778674461163e-67,1.4848205476528715,True,True
69,VWF,PDGFB,504,3.0207637455896834,9.500705952878129e-70,5315,1270,239.67794624152256,4.2753176787951585e-69,1.5949133550706538,True,True
70,VWF,COL1A2,60,0.15449138483871755,1.7254638975728126e-80,5315,1644,310.2602705677662,8.515999236407752e-80,-2.694401705929254,True,True
71,VWF,APLN,224,3.945939213385151,3.954260591783574e-45,5315,476,89.83204914249193,1.2346976949854834e-44,1.9803687317271412,True,True
72,VWF,PDGFRB,81,0.35481423576779,1.7272269577151028e-24,5315,1041,196.46042680112203,3.944264545230011e-24,-1.4948642006385189,True,True
73,VWF,ANGPT2,344,1.956707616008819,6.474182600887773e-22,5315,1125,212.31314135567945,1.3951407576560975e-21,0.9684281951838494,True,True
74,VWF,ICAM1,163,1.419816031460864,0.00023473172467216382,5315,662,124.9344885132976,0.00028503137995905607,0.505704008819221,True,True
75,PECAM1,VEGFA,1061,0.8334244094926176,1.1686036931976326e-06,4801,6995,1192.4509107694494,1.5281740603353657e-06,-0.2628767403013684,True,True
76,PECAM1,DLL4,1518,3.772120747801621,2.4774162413338375e-254,4801,4069,693.6501438057026,3.158705707700643e-253,1.915375858268155,True,True
77,PECAM1,ITGA6,177,3.037881616055289,3.539469065404732e-27,4801,468,79.78084721087953,8.461543234483188e-27,1.6030656502028244,True,True
78,PECAM1,SEMA3F,450,2.321247851330037,1.5990506720637408e-41,4801,1447,246.6728331498775,4.704899092802929e-41,1.214900574726368,True,True
79,PECAM1,JAG1,207,0.7846729580200847,0.001213835373464066,4801,1478,251.95746191811952,0.001417685588854978,-0.34983661305339314,True,True
80,PECAM1,FLT1,585,3.5289400834979165,4.351252090561195e-101,4801,1469,250.42321485637183,2.7739232077327615e-100,1.8192349353672135,True,True
81,PECAM1,PDGFB,432,2.658927283864414,5.363101167682582e-51,4801,1270,216.49930760217308,1.7458605928839045e-50,1.4108443230238294,True,True
82,PECAM1,COL1A2,64,0.1876392611469434,3.2255120837066364e-64,4801,1644,280.2557966125768,1.2337583720177882e-63,-2.4139663697217904,True,True
83,PECAM1,APLN,185,3.180301881590737,4.570638874074378e-30,4801,476,81.14462237687746,1.1852673690396268e-29,1.669163715950766,True,True
84,PECAM1,PDGFRB,80,0.3972315156505445,5.272848962925298e-19,4801,1041,177.461243475482,1.075661188436761e-18,-1.3319480065904399,True,True
85,PECAM1,ANGPT2,418,3.0571845674088625,3.696978546121548e-61,4801,1125,191.7808827184604,1.3467564703728496e-60,1.6122036527965522,True,True
86,PECAM1,ICAM1,167,1.6679650787391846,8.09591115892997e-08,4801,662,112.85239498632959,1.1159228894741311e-07,0.7380890841919333,True,True
88,VEGFA,ITGA6,171,1.7630311205733666,1.6112874384335707e-08,6995,468,116.23974718602422,2.3039904493489378e-08,0.8180579409658676,True,True
89,VEGFA,SEMA3F,519,1.7485759895527182,9.15870244595984e-22,6995,1447,359.39938926960906,1.946224269766466e-21,0.80618049398741,True,True
90,VEGFA,JAG1,701,2.92290845450489,2.7042676120038514e-83,6995,1478,367.0990306430423,1.3791764821219643e-82,1.547404644641728,True,True
91,VEGFA,FLT1,469,1.450146105986308,3.3671490245834416e-10,6995,1469,364.8636508894649,5.203775765265318e-10,0.5361982628353108,True,True
92,VEGFA,PDGFB,443,1.6638017130981348,2.7983628048092876e-16,6995,1270,315.4369207825871,5.28579640908421e-16,0.734483507652291,True,True
93,VEGFA,COL1A2,737,2.6309750419869746,5.737397749564028e-74,6995,1644,408.3293683201363,2.660066229343322e-73,1.3955975628434427,True,True
94,VEGFA,APLN,147,1.362160981830586,0.002692630949254929,6995,476,118.22675141142633,0.0030975378589173245,0.4458972128686792,True,True
95,VEGFA,PDGFRB,566,3.834477057601786,9.163857860570382e-96,6995,1041,258.5589248304513,5.608281010669073e-95,1.9390298377418769,True,True
96,VEGFA,ANGPT2,343,1.3452412734889116,1.223474986129639e-05,6995,1125,279.4224691971736,1.5343579744084816e-05,0.4278649481343664,True,True
97,VEGFA,ICAM1,233,1.6673037254771164,2.0304601428750034e-09,6995,662,164.4245996520257,3.0161204064065584e-09,0.737516937753385,True,True
98,DLL4,ITGA6,142,2.6412971322681487,8.682168846082262e-19,4069,468,67.61680218726698,1.7478576755928764e-18,1.4012466063657376,True,True
99,DLL4,SEMA3F,450,2.8820285968409074,4.960086218162816e-62,4069,1447,209.0630614636225,1.8509590033631974e-61,1.5270846506812512,True,True
100,DLL4,JAG1,166,0.7403926878808396,0.00022386254602639821,4069,1478,213.54195220679614,0.00027400775633631145,-0.43363744766664236,True,True
101,DLL4,FLT1,661,5.589728886340299,4.176806364770027e-187,4069,1469,212.24162908781025,4.260342492065428e-186,2.4827783110080657,True,True
102,DLL4,PDGFB,241,1.4132695639278607,5.576758055981335e-06,4069,1270,183.4900401235664,7.051603161695407e-06,0.49903666839707717,True,True
103,DLL4,COL1A2,56,0.19945545759768368,2.6997338078858008e-52,4069,1644,237.52568973475837,9.179094946811722e-52,-2.325861495195597,True,True
104,DLL4,APLN,115,1.9175376127516894,1.6499318196128497e-08,4069,476,68.7726449596989,2.3374034111182037e-08,0.9392548766581372,True,True
105,DLL4,PDGFRB,68,0.40658167414235585,7.09705686814278e-16,4069,1041,150.40404076270283,1.3242069522266406e-15,-1.2983829048394155,True,True
106,DLL4,ANGPT2,278,2.0148869715949784,1.7431340574328506e-20,4069,1125,162.54038987323793,3.653417955989399e-20,1.01069891066737,True,True
107,DLL4,ICAM1,150,1.7668586398837582,1.2584660690424932e-08,4069,662,95.6459894187409,1.8164651751273724e-08,0.8211866195744734,True,True
108,ITGA6,SEMA3F,57,2.643465050771967,1.943282777608906e-09,468,1447,24.045591733835174,2.914924166413359e-09,1.4024302529865784,True,True
110,ITGA6,FLT1,65,3.03872488103604,6.180014769363291e-13,468,1469,24.411177786457408,1.0506025107917594e-12,1.603466062575841,True,True
111,ITGA6,PDGFB,44,2.262353686286881,4.721616834506727e-06,468,1270,21.10428576501083,6.020061463996077e-06,1.1778244914692166,True,True
112,ITGA6,COL1A2,16,0.5836829133002102,0.02183321417280126,468,1644,27.319248659588823,0.024206389626366613,-0.776743259420102,True,True
113,ITGA6,APLN,24,3.31847566015574,1.7870636334923567e-06,468,476,7.9099527749174445,2.3171248807146657e-06,1.7305206926121146,True,True
115,ITGA6,ANGPT2,68,4.3084141277304076,2.50526766226319e-20,468,1125,18.694741327273373,5.17981016657119e-20,2.107156929387204,True,True
118,SEMA3F,FLT1,269,4.860580294909648,2.949370514134365e-79,1447,1469,75.47644072009373,1.410167777070493e-78,2.2811285645741184,True,True
119,SEMA3F,PDGFB,140,2.4320636818680375,9.444520288549892e-18,1447,1270,65.25192628626212,1.8525789796770944e-17,1.2821810052257336,True,True
120,SEMA3F,COL1A2,25,0.2778033099456264,5.1302837167589724e-15,1447,1644,84.46784788552355,9.23451069016615e-15,-1.847864306173914,True,True
121,SEMA3F,APLN,60,2.7534131490434013,1.5536101118118224e-10,1447,476,24.456627489969108,2.476066115700092e-10,1.4612211022529018,True,True
122,SEMA3F,PDGFRB,22,0.39784961404144953,6.674419831651912e-07,1447,1041,53.48602776692824,8.803329605540885e-07,-1.3297048954671113,True,True
123,SEMA3F,ANGPT2,86,1.569374913113437,0.00024372345726136364,1447,1125,57.80190320633455,0.0002936195981180208,0.6501900436236938,True,True
124,SEMA3F,ICAM1,93,3.1693415535831364,1.0075537057915088e-18,1447,662,34.013208820083086,2.0020222985207902e-18,1.6641831444496773,True,True
