state_code,binary_state,n_cells,pct_all_cells,pct_expressed_cells,cluster_id,nearest_neighbor_hamming
1_9,100000001000000000,19,0.09041591320072333,0.1407615943102682,12,0.05555555555555555
5_13,000010000000100000,19,0.09041591320072333,0.1407615943102682,17,0.05555555555555555
4_5_6,000111000000000000,19,0.09041591320072333,0.1407615943102682,17,0.05555555555555555
1_4_5_13,100110000000100000,18,0.08565718092700104,0.13335308934656986,17,0.05555555555555555
1_5_6_7,100011100000000000,18,0.08565718092700104,0.13335308934656986,16,0.05555555555555555
3_11_14,001000000010010000,18,0.08565718092700104,0.13335308934656986,2,0.05555555555555555
4_6_8,000101010000000000,18,0.08565718092700104,0.13335308934656986,21,0.05555555555555555
1_7_11,100000100010000000,18,0.08565718092700104,0.13335308934656986,14,0.05555555555555555
1_4_5_6_7,100111100000000000,17,0.08089844865327876,0.12594458438287154,16,0.05555555555555555
8_12,000000010001000000,17,0.08089844865327876,0.12594458438287154,8,0.05555555555555555
1_5_6_8,100011010000000000,17,0.08089844865327876,0.12594458438287154,21,0.05555555555555555
1_4_7_13,100100100000100000,17,0.08089844865327876,0.12594458438287154,17,0.05555555555555555
4_7_8,000100110000000000,16,0.07613971637955648,0.11853607941917321,19,0.05555555555555555
4_5_8,000110010000000000,16,0.07613971637955648,0.11853607941917321,19,0.05555555555555555
1_4_5_6_8,100111010000000000,16,0.07613971637955648,0.11853607941917321,21,0.05555555555555555
1_4_11,100100000010000000,15,0.07138098410583421,0.11112757445547489,14,0.05555555555555555
7_18,000000100000000001,15,0.07138098410583421,0.11112757445547489,15,0.05555555555555555
7_17,000000100000000010,15,0.07138098410583421,0.11112757445547489,13,0.05555555555555555
1_4_7_17,100100100000000010,15,0.07138098410583421,0.11112757445547489,13,0.05555555555555555
1_4_7_9,100100101000000000,15,0.07138098410583421,0.11112757445547489,12,0.05555555555555555
1_5_12,100010000001000000,15,0.07138098410583421,0.11112757445547489,7,0.05555555555555555
1_5_7_8,100010110000000000,15,0.07138098410583421,0.11112757445547489,19,0.05555555555555555
1_5_17,100010000000000010,15,0.07138098410583421,0.11112757445547489,13,0.05555555555555555
1_2_5,110010000000000000,15,0.07138098410583421,0.11112757445547489,4,0.05555555555555555
1_2_4_8,110100010000000000,15,0.07138098410583421,0.11112757445547489,3,0.05555555555555555
5_10,000010000100000000,15,0.07138098410583421,0.11112757445547489,10,0.05555555555555555
1_15,100000000000001000,15,0.07138098410583421,0.11112757445547489,20,0.05555555555555555
2_8,010000010000000000,15,0.07138098410583421,0.11112757445547489,3,0.05555555555555555
2_4_7,010100100000000000,15,0.07138098410583421,0.11112757445547489,3,0.05555555555555555
1_2_4_5,110110000000000000,14,0.06662225183211193,0.10371906949177656,6,0.05555555555555555
4_9,000100001000000000,14,0.06662225183211193,0.10371906949177656,12,0.05555555555555555
1_4_18,100100000000000001,14,0.06662225183211193,0.10371906949177656,15,0.05555555555555555
1_6_17,100001000000000010,14,0.06662225183211193,0.10371906949177656,13,0.05555555555555555
3_14_16,001000000000010100,14,0.06662225183211193,0.10371906949177656,1,0.05555555555555555
1_2_7_10,110000100100000000,14,0.06662225183211193,0.10371906949177656,6,0.05555555555555555
4_7_11,000100100010000000,13,0.061863519558389646,0.09631056452807824,14,0.05555555555555555
4_6_7,000101100000000000,13,0.061863519558389646,0.09631056452807824,17,0.05555555555555555
3_7_16,001000100000000100,13,0.061863519558389646,0.09631056452807824,1,0.05555555555555555
3_16,001000000000000100,13,0.061863519558389646,0.09631056452807824,1,0.05555555555555555
2_5,010010000000000000,13,0.061863519558389646,0.09631056452807824,4,0.05555555555555555
1_2_4_6,110101000000000000,13,0.061863519558389646,0.09631056452807824,5,0.05555555555555555
1_6_12,100001000001000000,13,0.061863519558389646,0.09631056452807824,21,0.05555555555555555
1_2_6_7,110001100000000000,13,0.061863519558389646,0.09631056452807824,5,0.05555555555555555
1_7_12,100000100001000000,13,0.061863519558389646,0.09631056452807824,8,0.05555555555555555
1_4_15,100100000000001000,13,0.061863519558389646,0.09631056452807824,20,0.05555555555555555
1_4_7_12,100100100001000000,13,0.061863519558389646,0.09631056452807824,8,0.05555555555555555
11_14,000000000010010000,13,0.061863519558389646,0.09631056452807824,2,0.05555555555555555
4_7_13,000100100000100000,12,0.05710478728466736,0.08890205956437991,17,0.05555555555555555
1_4_6_17,100101000000000010,12,0.05710478728466736,0.08890205956437991,13,0.05555555555555555
3_7_11_14,001000100010010000,12,0.05710478728466736,0.08890205956437991,2,0.05555555555555555
1_2_5_7,110010100000000000,12,0.05710478728466736,0.08890205956437991,6,0.05555555555555555
1_2_6,110001000000000000,12,0.05710478728466736,0.08890205956437991,5,0.05555555555555555
1_5_7_13,100010100000100000,11,0.05234605501094509,0.08149355460068158,17,0.05555555555555555
4_12,000100000001000000,11,0.05234605501094509,0.08149355460068158,8,0.05555555555555555
1_8_10,100000010100000000,11,0.05234605501094509,0.08149355460068158,9,0.05555555555555555
1_2_4_7_8,110100110000000000,11,0.05234605501094509,0.08149355460068158,3,0.05555555555555555
4_18,000100000000000001,11,0.05234605501094509,0.08149355460068158,15,0.05555555555555555
1_4_5_7_8,100110110000000000,11,0.05234605501094509,0.08149355460068158,19,0.05555555555555555
1_4_6_9,100101001000000000,10,0.047587322737222805,0.07408504963698326,12,0.05555555555555555
