,filename,image_shape,final_gel_intensity,final_vascular_intensity,initial_gel_intensity,initial_vascular_intensity,vascular_volume_um3,gel_volume_um3,vasculature_surface_area_um2,p_um/s,p_cm/s,bead,rln,mcl,ligand
61,m4_2024.12.04_fl4_fl12__Bead_device4/P 1,"(3, 26, 512, 512)",13149194.0,85804612.0,9785868.0,75405140.0,52005053.80089657,123921324.378099,3441827.2128403056,0.0051261585913649,5.126158591364943e-07,True,False,False,unknown
62,m4_2024.12.04_fl4_fl12__Bead_device4/P 3,"(3, 24, 512, 512)",8352744.0,54387669.0,9227747.0,66784141.0,48702847.91444116,114877819.51515125,4064763.298433409,-0.0011934779165527,-1.1934779165527586e-07,True,False,False,unknown
63,m4_2024.12.04_fl4_fl12__Bead_device4/P 4,"(3, 17, 512, 512)",6787874.0,58759999.0,5905600.0,61325389.0,36146916.19351983,78050908.23845977,2224180.5846100966,0.0015518295878359,1.5518295878359839e-07,True,False,False,unknown
65,m4_2024.12.04_fl4_fl12__rLN3_device4/P 1,"(3, 20, 512, 512)",15545376.0,78868250.0,10416137.0,76855815.0,43288330.40333582,92514487.8400994,2692705.692645533,0.0073679009097279,7.367900909727926e-07,False,True,False,unknown
66,m4_2024.12.04_fl4_fl12__rLN3_device4/P 2,"(3, 18, 512, 512)",6695430.0,37506695.0,10411636.0,72198985.0,42376556.54417393,81080550.94985807,2593427.567035233,-0.0052232436565959,-5.223243656595927e-07,False,True,False,unknown
67,m4_2024.12.04_fl4_fl12__rLN3_device4/P 4,"(3, 26, 512, 512)",13037069.0,66321347.0,11807504.0,70842970.0,49513367.20317146,126413010.97582412,3834518.8303729566,0.0019072907245184,1.9072907245184404e-07,False,True,False,unknown
68,m4_2024.12.04_fl4_fl12__rLN3_device4/P 3,"(3, 21, 512, 512)",5606465.0,32283666.0,5293105.0,34080605.0,46850136.52507565,95125537.09306116,3225634.6532162637,0.0008917005870669,8.917005870669905e-08,False,True,False,unknown
70,m4_2024.12.04_fl4_fl12__FL4_device4/P 1,"(3, 16, 512, 512)",6718288.0,19062276.0,5019389.0,24748015.0,16881008.923119135,91143960.13415883,1518197.2629934102,0.0143604454086378,1.436044540863784e-06,False,False,False,unknown
71,m4_2024.12.04_fl4_fl12__FL4_device4/P 2,"(3, 17, 512, 512)",17511749.0,50071450.0,12900572.0,53443383.0,53844190.0135519,60353634.4184277,5616681.807535226,0.0033948379000048,3.394837900004895e-07,False,False,False,unknown
72,m4_2024.12.04_fl4_fl12__FL4_device4/P 4,"(3, 19, 512, 512)",21805116.0,89494545.0,14369450.0,83395138.0,78549481.03374997,51080481.83498362,6127594.534783554,0.0024944315670387,2.494431567038764e-07,False,False,False,unknown
73,m4_2024.12.04_fl4_fl12__FL4_device4/P 3,"(3, 22, 512, 512)",14651833.0,29900486.0,10571033.0,33509328.0,34774292.75344713,113374236.23939124,4590582.017800186,0.0122047334606801,1.220473346068011e-06,False,False,False,unknown
75,m4_2024.12.04_fl4_fl12__FL12_device4/P 1,"(3, 21, 512, 512)",9057324.0,26464443.0,6650600.0,35057347.0,48490083.80487498,93485589.8132618,4038528.8235505447,0.0054478328017232,5.447832801723218e-07,False,False,False,unknown
76,m4_2024.12.04_fl4_fl12__FL12_device4/P 2,"(3, 18, 512, 512)",16595523.0,68559335.0,13805736.0,79940355.0,52911293.980046496,70545813.5139855,3602176.699054504,0.0022948057153825,2.2948057153825762e-07,False,False,False,unknown
77,m4_2024.12.04_fl4_fl12__FL12_device4/P 4,"(3, 21, 512, 512)",17090880.0,57851532.0,12321843.0,69998055.0,37965895.68238692,104009777.93574987,2672624.820056221,0.0089385615185166,8.938561518516688e-07,False,False,False,unknown
